22	104	205	281	336	-1	-12851	-12851	
23	105	206	282	337	-1	-12851	-12851	
24	106	207	283	338	-1	-12851	-12851	
25	107	208	284	339	-1	-12851	-12851	
26	108	209	285	340	-1	-12851	-12851	
27	109	168	286	341	-1	-12851	-12851	
28	110	169	287	342	-1	-12851	-12851	
29	111	170	288	343	-1	-12851	-12851	
30	112	171	289	344	-1	-12851	-12851	
31	113	172	290	345	-1	-12851	-12851	
32	114	173	291	346	-1	-12851	-12851	
33	115	174	292	347	-1	-12851	-12851	
34	116	175	293	348	-1	-12851	-12851	
35	117	176	252	349	-1	-12851	-12851	
36	118	177	253	350	-1	-12851	-12851	
37	119	178	254	351	-1	-12851	-12851	
38	120	179	255	352	-1	-12851	-12851	
39	121	180	256	353	-1	-12851	-12851	
40	122	181	257	354	-1	-12851	-12851	
41	123	182	258	355	-1	-12851	-12851	
0	124	183	259	356	-1	-12851	-12851	
1	125	184	260	357	-1	-12851	-12851	
2	84	185	261	358	-1	-12851	-12851	
3	85	186	262	359	-1	-12851	-12851	
4	86	187	263	360	-1	-12851	-12851	
5	87	188	264	361	-1	-12851	-12851	
6	88	189	265	362	-1	-12851	-12851	
7	89	190	266	363	-1	-12851	-12851	
8	90	191	267	364	-1	-12851	-12851	
9	91	192	268	365	-1	-12851	-12851	
10	92	193	269	366	-1	-12851	-12851	
11	93	194	270	367	-1	-12851	-12851	
12	94	195	271	368	-1	-12851	-12851	
13	95	196	272	369	-1	-12851	-12851	
14	96	197	273	370	-1	-12851	-12851	
15	97	198	274	371	-1	-12851	-12851	
16	98	199	275	372	-1	-12851	-12851	
17	99	200	276	373	-1	-12851	-12851	
18	100	201	277	374	-1	-12851	-12851	
19	101	202	278	375	-1	-12851	-12851	
20	102	203	279	376	-1	-12851	-12851	
21	103	204	280	377	-1	-12851	-12851	
33	118	194	323	337	378	-1	-12851	
34	119	195	324	338	379	-1	-12851	
35	120	196	325	339	380	-1	-12851	
36	121	197	326	340	381	-1	-12851	
37	122	198	327	341	382	-1	-12851	
38	123	199	328	342	383	-1	-12851	
39	124	200	329	343	384	-1	-12851	
40	125	201	330	344	385	-1	-12851	
41	84	202	331	345	386	-1	-12851	
0	85	203	332	346	387	-1	-12851	
1	86	204	333	347	388	-1	-12851	
2	87	205	334	348	389	-1	-12851	
3	88	206	335	349	390	-1	-12851	
4	89	207	294	350	391	-1	-12851	
5	90	208	295	351	392	-1	-12851	
6	91	209	296	352	393	-1	-12851	
7	92	168	297	353	394	-1	-12851	
8	93	169	298	354	395	-1	-12851	
9	94	170	299	355	396	-1	-12851	
10	95	171	300	356	397	-1	-12851	
11	96	172	301	357	398	-1	-12851	
12	97	173	302	358	399	-1	-12851	
13	98	174	303	359	400	-1	-12851	
14	99	175	304	360	401	-1	-12851	
15	100	176	305	361	402	-1	-12851	
16	101	177	306	362	403	-1	-12851	
17	102	178	307	363	404	-1	-12851	
18	103	179	308	364	405	-1	-12851	
19	104	180	309	365	406	-1	-12851	
20	105	181	310	366	407	-1	-12851	
21	106	182	311	367	408	-1	-12851	
22	107	183	312	368	409	-1	-12851	
23	108	184	313	369	410	-1	-12851	
24	109	185	314	370	411	-1	-12851	
25	110	186	315	371	412	-1	-12851	
26	111	187	316	372	413	-1	-12851	
27	112	188	317	373	414	-1	-12851	
28	113	189	318	374	415	-1	-12851	
29	114	190	319	375	416	-1	-12851	
30	115	191	320	376	417	-1	-12851	
31	116	192	321	377	418	-1	-12851	
32	117	193	322	336	419	-1	-12851	
79	158	218	329	389	420	-1	-12851	
80	159	219	330	390	421	-1	-12851	
81	160	220	331	391	422	-1	-12851	
82	161	221	332	392	423	-1	-12851	
83	162	222	333	393	424	-1	-12851	
42	163	223	334	394	425	-1	-12851	
43	164	224	335	395	426	-1	-12851	
44	165	225	294	396	427	-1	-12851	
45	166	226	295	397	428	-1	-12851	
46	167	227	296	398	429	-1	-12851	
47	126	228	297	399	430	-1	-12851	
48	127	229	298	400	431	-1	-12851	
49	128	230	299	401	432	-1	-12851	
50	129	231	300	402	433	-1	-12851	
51	130	232	301	403	434	-1	-12851	
52	131	233	302	404	435	-1	-12851	
53	132	234	303	405	436	-1	-12851	
54	133	235	304	406	437	-1	-12851	
55	134	236	305	407	438	-1	-12851	
56	135	237	306	408	439	-1	-12851	
57	136	238	307	409	440	-1	-12851	
58	137	239	308	410	441	-1	-12851	
59	138	240	309	411	442	-1	-12851	
60	139	241	310	412	443	-1	-12851	
